project,url,sha
ChenyuGAO-CS-SMA-a1e2b4c,https://github.com/ChenyuGAO-CS/SMA,a1e2b4c
ChristopheCluizel-codingame-ffc368e,https://github.com/ChristopheCluizel/codingame,ffc368e
Cigna-ibis-f99e3b7,https://github.com/Cigna/ibis,f99e3b7
City-of-Helsinki-django-orghierarchy-8f3fa46,https://github.com/City-of-Helsinki/django-orghierarchy,8f3fa46
Ckend-scihub-cn-410acc1,https://github.com/Ckend/scihub-cn,410acc1
ClaireRuysschaert-P11_GUDLFT-77b04ea,https://github.com/ClaireRuysschaert/P11_GUDLFT,77b04ea
Clean-Cole-pysftp-659f98c,https://github.com/Clean-Cole/pysftp,659f98c
ClickHouse-ClickHouse-00be0ea,https://github.com/ClickHouse/ClickHouse,00be0ea
ClimateImpactLab-climate_toolbox-8b3eb27,https://github.com/ClimateImpactLab/climate_toolbox,8b3eb27
ClusterHQ-gentoo-788ab0e,https://github.com/ClusterHQ/gentoo,788ab0e
CodeAndCandlesticks-py-schwab-wrapper-35079a4,https://github.com/CodeAndCandlesticks/py-schwab-wrapper,35079a4
ComposioHQ-composio-de3e119,https://github.com/ComposioHQ/composio,de3e119
ConnectedHomes-chaim-68fa410,https://github.com/ConnectedHomes/chaim,68fa410
ConsumrBuzzy-RogueAsteroid-3822c72,https://github.com/ConsumrBuzzy/RogueAsteroid,3822c72
Cooperative-IA-CooperativeGPT-4c0cf95,https://github.com/Cooperative-IA/CooperativeGPT,4c0cf95
CroMarmot-oiTerminal-fd9931b,https://github.com/CroMarmot/oiTerminal,fd9931b
Czubbi-GraphNeuralNetworks-ICAPS-dbb1575,https://github.com/Czubbi/GraphNeuralNetworks-ICAPS,dbb1575
D0112-Llama3-Chinese-Doctor-9b0c0f1,https://github.com/D0112/Llama3-Chinese-Doctor,9b0c0f1
DIAGNijmegen-picai_eval-81d6067,https://github.com/DIAGNijmegen/picai_eval,81d6067
DIVA-DIA-DIVA-DAF-b5eec91,https://github.com/DIVA-DIA/DIVA-DAF,b5eec91
DalgoT4D-prefect-proxy-0238cba,https://github.com/DalgoT4D/prefect-proxy,0238cba
DamLabResources-fig2pptx-6691722,https://github.com/DamLabResources/fig2pptx,6691722
DataDog-guarddog-2de0f93,https://github.com/DataDog/guarddog,2de0f93
Daylily-Informatics-zebra_day-a46b6f7,https://github.com/Daylily-Informatics/zebra_day,a46b6f7
DeepLink-org-DLOP-Bench-103339b,https://github.com/DeepLink-org/DLOP-Bench,103339b
DevCloudNinjas-django-multitenant-saas-ecommerce-a5ee81d,https://github.com/DevCloudNinjas/django-multitenant-saas-ecommerce,a5ee81d
Digital-Preservation-Finland-access-rest-api-client-2021a96,https://github.com/Digital-Preservation-Finland/access-rest-api-client,2021a96
Dmitrii-I-sportmonks-805884c,https://github.com/Dmitrii-I/sportmonks,805884c
Dominick1998-Network-Traffic-Analysis-Tool-b7a36a0,https://github.com/Dominick1998/Network-Traffic-Analysis-Tool,b7a36a0
DonJayamanne-vscodePythonTesting-e904d3c,https://github.com/DonJayamanne/vscodePythonTesting,e904d3c
Drblessing-notes-1b7ff84,https://github.com/Drblessing/notes,1b7ff84
Dublerq-rpi-lcd-menu-188ff12,https://github.com/Dublerq/rpi-lcd-menu,188ff12
ESMG-gridtools-de0a18c,https://github.com/ESMG/gridtools,de0a18c
ESSS-hookman-a2eb111,https://github.com/ESSS/hookman,a2eb111
EandrewJones-tornado_template-bcf475d,https://github.com/EandrewJones/tornado_template,bcf475d
EclipseZ23-devops-b784f61,https://github.com/EclipseZ23/devops,b784f61
ElianGroff-ezmk-4ff3050,https://github.com/ElianGroff/ezmk,4ff3050
ElviinGit-LikeButton-c33bf64,https://github.com/ElviinGit/LikeButton,c33bf64
EmilStenstrom-conllu-60df138,https://github.com/EmilStenstrom/conllu,60df138
Emory-HITI-Niffler-0117cf3,https://github.com/Emory-HITI/Niffler,0117cf3
EnderKilledYou-OverwatchClipHunting-4f3ebb3,https://github.com/EnderKilledYou/OverwatchClipHunting,4f3ebb3
EndurantDevs-botstat-seo-8193bb8,https://github.com/EndurantDevs/botstat-seo,8193bb8
Enterprise-CMCS-cmcs-eregulations-38d870f,https://github.com/Enterprise-CMCS/cmcs-eregulations,38d870f
ErickOF-CE5303-Embedded-System-for-Smart-Home-77e6e5a,https://github.com/ErickOF/CE5303-Embedded-System-for-Smart-Home,77e6e5a
Fedihosting-Foundation-plemmy-b0fe29e,https://github.com/Fedihosting-Foundation/plemmy,b0fe29e
FinnLidbetter-slobsterble-5034fa8,https://github.com/FinnLidbetter/slobsterble,5034fa8
FourThievesVinegar-solderless-microlab-7c1800d,https://github.com/FourThievesVinegar/solderless-microlab,7c1800d
FreeTAKTeam-FreeTakServer-19fcc61,https://github.com/FreeTAKTeam/FreeTakServer,19fcc61
FuelCellUAV-h100-37ec984,https://github.com/FuelCellUAV/h100,37ec984
GSA-FedRAMP-OllaLab-Lean-e2d28ed,https://github.com/GSA/FedRAMP-OllaLab-Lean,e2d28ed
GSA-mysql_to_cloudwatch-b9f34d3,https://github.com/GSA/mysql_to_cloudwatch,b9f34d3
GabrielCappelli-openapi-specgen-e864889,https://github.com/GabrielCappelli/openapi-specgen,e864889
Gaoyuan-Liu-Non-prehensile-Augmented-TAMP-a6e5c61,https://github.com/Gaoyuan-Liu/Non-prehensile-Augmented-TAMP,a6e5c61
Gcav66-learn_logging-cb742ba,https://github.com/Gcav66/learn_logging,cb742ba
Genentech-data-detective-2523878,https://github.com/Genentech/data-detective,2523878
GeoscienceAustralia-dea-waterbodies-203bde9,https://github.com/GeoscienceAustralia/dea-waterbodies,203bde9
Getachew0557-KAIM2W4-rossmann-sales-forecast-0a0f1b7,https://github.com/Getachew0557/KAIM2W4-rossmann-sales-forecast,0a0f1b7
Gia-Corp-TheMovieProject-5a4a44e,https://github.com/Gia-Corp/TheMovieProject,5a4a44e
GiorgosNik-media_compressor-cfe160d,https://github.com/GiorgosNik/media_compressor,cfe160d
Giselurr-Project-Agile-970c615,https://github.com/Giselurr/Project-Agile,970c615
GitYCC-bert-minimal-tutorial-c527d20,https://github.com/GitYCC/bert-minimal-tutorial,c527d20
GonzalezAndrew-pyfabdb-217b216,https://github.com/GonzalezAndrew/pyfabdb,217b216
Good-Data-Hub-taxonomy4good-e873b69,https://github.com/Good-Data-Hub/taxonomy4good,e873b69
Gregtmlg-Bluerov2_DRL-f8a79e3,https://github.com/Gregtmlg/Bluerov2_DRL,f8a79e3
Gsllchb-DotDot-17afff7,https://github.com/Gsllchb/DotDot,17afff7
HAWLYQ-Qc-TextCap-60359f6,https://github.com/HAWLYQ/Qc-TextCap,60359f6
HBNetwork-python-decouple-0573e6f,https://github.com/HBNetwork/python-decouple,0573e6f
HIRANO-Satoshi-price-level-calculator-e53a645,https://github.com/HIRANO-Satoshi/price-level-calculator,e53a645
HRI-EU-score-2ac72ab,https://github.com/HRI-EU/score,2ac72ab
HTTP-APIs-hydra-python-core-630a8b3,https://github.com/HTTP-APIs/hydra-python-core,630a8b3
Haidra-Org-horde-safety-9683930,https://github.com/Haidra-Org/horde-safety,9683930
HareInWeed-pdf-toc-815e20b,https://github.com/HareInWeed/pdf-toc,815e20b
HeinDuijf-OpenMind-fc0c4bb,https://github.com/HeinDuijf/OpenMind,fc0c4bb
